date,city,price
2019-12-01,TOULON,2383.646116346943
2020-01-01,TOULON,2382.6395987270043
2020-02-01,TOULON,2381.6330811070693
2020-03-01,TOULON,2380.691500107776
2020-04-01,TOULON,2379.6849824878373
2020-05-01,TOULON,2378.710933178223
2020-06-01,TOULON,2377.704415558288
2020-07-01,TOULON,2376.730366248674
2020-08-01,TOULON,2375.723848628735
2020-09-01,TOULON,2374.7173310088
2020-10-01,TOULON,2373.743281699186
2020-11-01,TOULON,2372.736764079247
2020-12-01,TOULON,2371.762714769633
2016-01-01,BORDEAUX,3279.943312271964
2016-02-01,BORDEAUX,3305.3417745120823
2016-03-01,BORDEAUX,3329.1016262852354
2016-04-01,BORDEAUX,3354.5000885254703
2016-05-01,BORDEAUX,3379.079245532048
2016-06-01,BORDEAUX,3404.477707772283
2016-07-01,BORDEAUX,3429.056864778977
2016-08-01,BORDEAUX,3454.455327019212
2016-09-01,BORDEAUX,3479.8537892593304
2016-10-01,BORDEAUX,3504.4329462660244
2016-11-01,BORDEAUX,3529.8314085062593
2016-12-01,BORDEAUX,3554.4105655129533
2017-01-01,BORDEAUX,3579.809027753072
2017-02-01,BORDEAUX,3605.207489993307
2017-03-01,BORDEAUX,3628.148036532919
2017-04-01,BORDEAUX,3653.5464987730375
2017-05-01,BORDEAUX,3678.1256557797315
2017-06-01,BORDEAUX,3703.5241180199664
2017-07-01,BORDEAUX,3728.1032750266604
2017-08-01,BORDEAUX,3753.501737266779
2017-09-01,BORDEAUX,3778.900199507014
2017-10-01,BORDEAUX,3803.479356513708
2017-11-01,BORDEAUX,3828.877818753943
2017-12-01,BORDEAUX,3853.4569757605204
2018-01-01,BORDEAUX,3878.8554380007554
2018-02-01,BORDEAUX,3904.2539002409903
2018-03-01,BORDEAUX,3927.194446780486
2018-04-01,BORDEAUX,3952.592909020721
2018-05-01,BORDEAUX,3977.172066027415
2018-06-01,BORDEAUX,4002.57052826765
2018-07-01,BORDEAUX,4027.1496852742275
2018-08-01,BORDEAUX,4052.5481475144625
2018-09-01,BORDEAUX,4077.9466097546974
2018-10-01,BORDEAUX,4102.525766761391
2018-11-01,BORDEAUX,4127.924229001626
2018-12-01,BORDEAUX,4152.503386008204
2019-01-01,BORDEAUX,4177.901848248439
2019-02-01,BORDEAUX,4203.300310488674
2019-03-01,BORDEAUX,4226.24085702817
2019-04-01,BORDEAUX,4251.6393192684045
2019-05-01,BORDEAUX,4276.2184762750985
2019-06-01,BORDEAUX,4301.6169385153335
2019-07-01,BORDEAUX,4326.196095521911
2019-08-01,BORDEAUX,4351.594557762146
2019-09-01,BORDEAUX,4376.993020002381
2019-10-01,BORDEAUX,4401.5721770089585
2019-11-01,BORDEAUX,4426.9706392491935
2019-12-01,BORDEAUX,4451.5497962558875
2020-01-01,BORDEAUX,4476.948258496122
2020-02-01,BORDEAUX,4502.346720736357
2020-03-01,BORDEAUX,4526.106572509394
2020-04-01,BORDEAUX,4551.505034749629
2020-05-01,BORDEAUX,4576.084191756323
2020-06-01,BORDEAUX,4601.4826539964415
2020-07-01,BORDEAUX,4626.0618110031355
2020-08-01,BORDEAUX,4651.4602732433705
2020-09-01,BORDEAUX,4676.858735483605
2020-10-01,BORDEAUX,4701.437892490183
2020-11-01,BORDEAUX,4726.836354730418
2020-12-01,BORDEAUX,4751.415511737112
2016-01-01,LE HAVRE,1852.662191045063
2016-02-01,LE HAVRE,1858.2870131039235
2016-03-01,LE HAVRE,1863.5489434170595
2016-04-01,LE HAVRE,1869.17376547592
2016-05-01,LE HAVRE,1874.6171416619036
2016-06-01,LE HAVRE,1880.241963720764
2016-07-01,LE HAVRE,1885.6853399067477
2016-08-01,LE HAVRE,1891.3101619656081
2016-09-01,LE HAVRE,1896.9349840244686
2016-10-01,LE HAVRE,1902.3783602104813
2016-11-01,LE HAVRE,1908.0031822693418
2016-12-01,LE HAVRE,1913.4465584553254
2017-01-01,LE HAVRE,1919.0713805141859
2017-02-01,LE HAVRE,1924.6962025730463
2017-03-01,LE HAVRE,1929.7766870133055
2017-04-01,LE HAVRE,1935.401509072166
2017-05-01,LE HAVRE,1940.8448852581496
2017-06-01,LE HAVRE,1946.46970731701
2017-07-01,LE HAVRE,1951.9130835030228
2017-08-01,LE HAVRE,1957.5379055618832
2017-09-01,LE HAVRE,1963.1627276207437
2017-10-01,LE HAVRE,1968.6061038067273
2017-11-01,LE HAVRE,1974.2309258655878
2017-12-01,LE HAVRE,1979.6743020515714
2018-01-01,LE HAVRE,1985.2991241104319
2018-02-01,LE HAVRE,1990.9239461692923
2018-03-01,LE HAVRE,1996.0044306095515
2018-04-01,LE HAVRE,2001.629252668412
2018-05-01,LE HAVRE,2007.0726288544247
2018-06-01,LE HAVRE,2012.6974509132851
2018-07-01,LE HAVRE,2018.1408270992688
2018-08-01,LE HAVRE,2023.7656491581292
2018-09-01,LE HAVRE,2029.3904712169897
2018-10-01,LE HAVRE,2034.8338474029733
2018-11-01,LE HAVRE,2040.4586694618338
2018-12-01,LE HAVRE,2045.9020456478465
2019-01-01,LE HAVRE,2051.526867706678
2019-02-01,LE HAVRE,2057.1516897655383
2019-03-01,LE HAVRE,2062.2321742058266
2019-04-01,LE HAVRE,2067.856996264687
2019-05-01,LE HAVRE,2073.3003724506707
2019-06-01,LE HAVRE,2078.925194509531
2019-07-01,LE HAVRE,2084.368570695515
2019-08-01,LE HAVRE,2089.9933927543752
2019-09-01,LE HAVRE,2095.6182148132357
2019-10-01,LE HAVRE,2101.0615909992193
2019-11-01,LE HAVRE,2106.68641305808
2019-12-01,LE HAVRE,2112.1297892440925
2020-01-01,LE HAVRE,2117.754611302953
2020-02-01,LE HAVRE,2123.3794333618134
